pid,hid,avg_rec
201,27,2.3333333333333335
203,60313,2.3333333333333335
602,60,3.7777777777777777
901,94,3.4444444444444446
1202,124,1.0
1501,159,1.8888888888888888
1601,167,3.0
1602,167,1.3333333333333333
1603,167,4.0
1701,175,1.3333333333333333
1704,175,1.0
1705,175,2.3333333333333335
2301,230,3.111111111111111
2302,65889,4.666666666666667
2304,230,2.0
3001,125393,3.6666666666666665
3002,125393,1.6666666666666667
3003,302,1.3333333333333333
4601,469,2.6666666666666665
4701,477,1.5555555555555556
4901,493,3.0
5201,523,2.111111111111111
5202,523,3.6666666666666665
5203,125466,1.5555555555555556
5302,531,1.3333333333333333
5303,105600,3.4444444444444446
5601,566,2.2222222222222223
5702,574,6.222222222222222
5801,582,2.6666666666666665
5802,65366,2.888888888888889
5803,110787,2.0
6002,604,2.7777777777777777
6003,120855,2.111111111111111
7301,736,2.25
7302,736,4.444444444444445
7303,105317,2.0
8001,809,2.0
8302,833,3.0
8303,833,2.3333333333333335
8602,868,3.111111111111111
8603,79880,2.0
8604,121134,3.0
8605,868,3.3333333333333335
8606,868,5.333333333333333
9102,914,1.8888888888888888
9103,914,1.0
9201,922,2.3333333333333335
9203,107905,3.0
9204,125148,2.0
9206,922,2.0
9302,930,2.888888888888889
9401,949,2.7777777777777777
9402,949,3.6666666666666665
9403,949,2.4444444444444446
9602,965,5.666666666666667
9801,981,4.111111111111111
9802,65030,3.111111111111111
9803,981,3.3333333333333335
9901,990,6.0
9903,115533,2.888888888888889
9904,112488,2.0
9905,115541,3.0
9906,990,4.666666666666667
10101,1015,6.444444444444445
10201,1023,1.2222222222222223
10301,1031,1.6666666666666667
10302,1031,2.3333333333333335
10303,66494,2.6666666666666665
10304,94781,3.0
10602,1066,1.6666666666666667
10603,1066,1.6666666666666667
10801,118265,2.888888888888889
10802,118290,2.3333333333333335
10803,100838,2.0
11301,1139,6.0
11502,1155,1.1111111111111112
11504,114812,3.3333333333333335
11506,1155,1.3333333333333333
11601,1163,3.888888888888889
11602,1163,4.444444444444445
11701,1171,5.0
11702,1171,2.6666666666666665
12201,1228,1.4444444444444444
12202,1228,2.5555555555555554
12301,1236,2.0
12303,109207,3.7777777777777777
12501,60330,1.3333333333333333
12502,1252,3.3333333333333335
12603,66036,3.3333333333333335
12701,1279,4.666666666666667
13101,1317,2.4444444444444446
13102,1317,4.222222222222222
13401,1341,3.5555555555555554
13402,1341,2.7777777777777777
13403,1341,4.333333333333333
13404,1341,3.4444444444444446
13405,1341,2.888888888888889
13801,65218,4.777777777777778
13802,124648,2.6666666666666665
13803,1384,2.6666666666666665
13901,1392,2.888888888888889
13902,1392,3.5555555555555554
14402,1449,1.0
14801,1481,2.4444444444444446
14802,1481,2.888888888888889
14803,105708,4.0
14901,1490,1.0
14902,1490,1.0
15503,89346,4.444444444444445
16201,97659,4.444444444444445
16301,1635,1.0
16401,1643,4.222222222222222
16402,1643,3.7777777777777777
16404,120057,3.0
16603,71480,1.0
17001,1708,4.0
17003,106160,4.0
17005,115142,3.0
17101,1716,2.2222222222222223
17102,1716,3.2222222222222223
17201,1724,3.6666666666666665
17202,1724,1.3333333333333333
17601,1767,1.2222222222222223
17602,1767,1.1111111111111112
17702,1775,1.6666666666666667
17901,1791,2.888888888888889
17902,1791,2.4444444444444446
17903,105767,3.6666666666666665
17904,120073,2.0
18001,1805,1.0
18002,1805,2.0
18003,1805,3.6666666666666665
18101,1813,1.0
18501,1856,1.0
18502,1856,2.0
18601,1864,2.888888888888889
18602,1864,2.3333333333333335
18603,121576,1.0
18604,121584,3.2222222222222223
18701,1872,1.6666666666666667
